system_name,max_depth,cost_function,alpha,nodes_before,leaves_before,depth_before,nodes_after,leaves_after,depth_after,NRMSE_Train_Tree,NRMSE_Test_Tree,NRMSE_Train_Affine_before,NRMSE_Test_Affine_before,NRMSE_Train_Affine_after,NRMSE_Test_Affine_after
Jet,4,scenario,0.001,31,16,4,31,16,4,0.04207267276611268,0.04393226181415314,0.0008630645098905592,0.0008672734891876399,0.0008630645098905592,0.0008672734891876399
Jet,4,scenario,0.01,31,16,4,31,16,4,0.04207267276611268,0.04393226181415314,0.0008630645098905592,0.0008672734891876399,0.0008630645098905592,0.0008672734891876399
Jet,4,scenario,0.05,31,16,4,23,12,4,0.04207267276611268,0.04393226181415314,0.0008630645098905592,0.0008672734891876399,0.0018467288230635918,0.001861840173394987
Jet,4,scenario,0.1,31,16,4,23,12,4,0.04207267276611268,0.04393226181415314,0.0008630645098905592,0.0008672734891876399,0.0018467288230635918,0.001861840173394987
Jet,4,scenario,0.5,31,16,4,7,4,2,0.04207267276611268,0.04393226181415314,0.0008630645098905592,0.0008672734891876399,0.003347970937531853,0.0033743306931121645
Jet,6,scenario,0.001,127,64,6,109,55,6,0.020639272893305395,0.022437040974378097,0.0002367267542418998,0.00024700967221017833,0.00037988249551902897,0.00039381551993453124
Jet,6,scenario,0.01,127,64,6,109,55,6,0.020639272893305395,0.022437040974378097,0.0002367267542418998,0.00024700967221017833,0.00037988249551902897,0.00039381551993453124
Jet,6,scenario,0.05,127,64,6,109,55,6,0.020639272893305395,0.022437040974378097,0.0002367267542418998,0.00024700967221017833,0.00037988249551902897,0.00039381551993453124
Jet,6,scenario,0.1,127,64,6,109,55,6,0.020639272893305395,0.022437040974378097,0.0002367267542418998,0.00024700967221017833,0.00037988249551902897,0.00039381551993453124
Jet,6,scenario,0.5,127,64,6,109,55,6,0.020639272893305395,0.022437040974378097,0.0002367267542418998,0.00024700967221017833,0.00037988249551902897,0.00039381551993453124
Jet,8,scenario,0.001,511,256,8,167,84,8,0.009990226224572511,0.011560442040821961,9.157398066220732e-05,0.0001071235526241635,0.00022212855519609178,0.00023254428098998681
Jet,8,scenario,0.01,511,256,8,167,84,8,0.009990226224572511,0.011560442040821961,9.157398066220732e-05,0.0001071235526241635,0.00022212855519609178,0.00023254428098998681
Jet,8,scenario,0.05,511,256,8,167,84,8,0.009990226224572511,0.011560442040821961,9.157398066220732e-05,0.0001071235526241635,0.00022212855519609178,0.00023254428098998681
Jet,8,scenario,0.1,511,256,8,167,84,8,0.009990226224572511,0.011560442040821961,9.157398066220732e-05,0.0001071235526241635,0.00022212855519609178,0.00023254428098998681
