system_name,max_depth,cost_function,alpha,nodes_before,leaves_before,depth_before,nodes_after,leaves_after,depth_after,NRMSE_Train_Tree,NRMSE_Test_Tree,NRMSE_Train_Affine_before,NRMSE_Test_Affine_before,NRMSE_Train_Affine_after,NRMSE_Test_Affine_after,Min_Epsilon_Before,Max_Epsilon_Before,Min_Epsilon_After,Max_Epsilon_After,Min_h_Before,Max_h_Before,Min_h_After,Max_h_After
Exponential,4,scenario,0.001,31,16,4,27,14,4,0.07192057509781773,0.07333256395709116,0.05521320189128498,0.05670169506545432,0.055660664697839105,0.05712888648905846,0.02203565090894699,0.5659440085291862,0.011156074702739716,0.5659440085291862,1.3150503707985113e-05,0.43758177770055806,1.3150503707985113e-05,0.43758177770055806
Exponential,4,scenario,0.01,31,16,4,27,14,4,0.07192057509781773,0.07333256395709116,0.05521320189128498,0.05670169506545432,0.055660664697839105,0.05712888648905846,0.02203565090894699,0.5659440085291862,0.011156074702739716,0.5659440085291862,1.3150503707985113e-05,0.43758177770055806,1.3150503707985113e-05,0.43758177770055806
Exponential,4,scenario,0.05,31,16,4,27,14,4,0.07192057509781773,0.07333256395709116,0.05521320189128498,0.05670169506545432,0.055660664697839105,0.05712888648905846,0.02203565090894699,0.5659440085291862,0.011156074702739716,0.5659440085291862,1.3150503707985113e-05,0.43758177770055806,1.3150503707985113e-05,0.43758177770055806
Exponential,4,scenario,0.1,31,16,4,27,14,4,0.07192057509781773,0.07333256395709116,0.05521320189128498,0.05670169506545432,0.055660664697839105,0.05712888648905846,0.02203565090894699,0.5659440085291862,0.011156074702739716,0.5659440085291862,1.3150503707985113e-05,0.43758177770055806,1.3150503707985113e-05,0.43758177770055806
Exponential,4,scenario,0.5,31,16,4,27,14,4,0.07192057509781773,0.07333256395709116,0.05521320189128498,0.05670169506545432,0.055660664697839105,0.05712888648905846,0.02203565090894699,0.5659440085291862,0.011156074702739716,0.5659440085291862,1.3150503707985113e-05,0.43758177770055806,1.3150503707985113e-05,0.43758177770055806
Exponential,6,scenario,0.001,127,64,6,123,62,6,0.04093334598798284,0.04076836523475449,0.02291059447907194,0.02335767389746205,0.022914395250579252,0.02336187253228098,0.035957030951976776,1.0,0.029962830245494843,0.9977087751030922,2.322220834757443e-07,0.09974180943160926,2.322220834757443e-07,0.09974180943160926
Exponential,6,scenario,0.01,127,64,6,123,62,6,0.04093334598798284,0.04076836523475449,0.02291059447907194,0.02335767389746205,0.022914395250579252,0.02336187253228098,0.035957030951976776,1.0,0.029962830245494843,0.9977087751030922,2.322220834757443e-07,0.09974180943160926,2.322220834757443e-07,0.09974180943160926
Exponential,6,scenario,0.05,127,64,6,123,62,6,0.04093334598798284,0.04076836523475449,0.02291059447907194,0.02335767389746205,0.022914395250579252,0.02336187253228098,0.035957030951976776,1.0,0.029962830245494843,0.9977087751030922,2.322220834757443e-07,0.09974180943160926,2.322220834757443e-07,0.09974180943160926
Exponential,6,scenario,0.1,127,64,6,123,62,6,0.04093334598798284,0.04076836523475449,0.02291059447907194,0.02335767389746205,0.022914395250579252,0.02336187253228098,0.035957030951976776,1.0,0.029962830245494843,0.9977087751030922,2.322220834757443e-07,0.09974180943160926,2.322220834757443e-07,0.09974180943160926
Exponential,6,scenario,0.5,127,64,6,123,62,6,0.04093334598798284,0.04076836523475449,0.02291059447907194,0.02335767389746205,0.022914395250579252,0.02336187253228098,0.035957030951976776,1.0,0.029962830245494843,0.9977087751030922,2.322220834757443e-07,0.09974180943160926,2.322220834757443e-07,0.09974180943160926
Exponential,8,scenario,0.001,509,255,8,347,174,8,0.020614083882149112,0.022182137115551896,0.014060832466454204,0.015741328550105516,0.014389589505166734,0.01463115383949203,0.1265157386660576,1.0,0.035957030951976776,0.9998109415173531,8.684507194321857e-10,0.06465339433752589,8.684507194321857e-10,0.06465339433752589
Exponential,8,scenario,0.01,509,255,8,347,174,8,0.020614083882149112,0.022182137115551896,0.014060832466454204,0.015741328550105516,0.014389589505166734,0.01463115383949203,0.1265157386660576,1.0,0.035957030951976776,0.9998109415173531,8.684507194321857e-10,0.06465339433752589,8.684507194321857e-10,0.06465339433752589
Exponential,8,scenario,0.05,509,255,8,347,174,8,0.020614083882149112,0.022182137115551896,0.014060832466454204,0.015741328550105516,0.014389589505166734,0.01463115383949203,0.1265157386660576,1.0,0.035957030951976776,0.9998109415173531,8.684507194321857e-10,0.06465339433752589,8.684507194321857e-10,0.06465339433752589
Exponential,8,scenario,0.1,509,255,8,347,174,8,0.020614083882149112,0.022182137115551896,0.014060832466454204,0.015741328550105516,0.014389589505166734,0.01463115383949203,0.1265157386660576,1.0,0.035957030951976776,0.9998109415173531,8.684507194321857e-10,0.06465339433752589,8.684507194321857e-10,0.06465339433752589
Exponential,8,scenario,0.5,509,255,8,347,174,8,0.020614083882149112,0.022182137115551896,0.014060832466454204,0.015741328550105516,0.014389589505166734,0.01463115383949203,0.1265157386660576,1.0,0.035957030951976776,0.9998109415173531,8.684507194321857e-10,0.06465339433752589,8.684507194321857e-10,0.06465339433752589
NL1,4,scenario,0.001,31,16,4,31,16,4,0.05399569220659876,0.054546515035125316,0.006597042706425139,0.006474522060129317,0.006597042706425139,0.006474522060129317,0.0426342710852623,0.12200125306844711,0.0426342710852623,0.12200125306844711,0.00020921880137066005,0.005694161717258977,0.00020921880137066005,0.005694161717258977
