system_name,max_depth,cost_function,alpha,nodes_before,leaves_before,depth_before,nodes_after,leaves_after,depth_after,NRMSE_Train_Tree,NRMSE_Test_Tree,NRMSE_Train_Affine_before,NRMSE_Test_Affine_before,NRMSE_Train_Affine_after,NRMSE_Test_Affine_after,Min_Epsilon_Before,Max_Epsilon_Before,Min_Epsilon_After,Max_Epsilon_After,Min_h_Before,Max_h_Before,Min_h_After,Max_h_After
Jet,4,scenario,0.01,31,16,4,31,16,4,0.04207267276611268,0.04393226181415314,0.0008629039356104542,0.000867102752832912,0.0008629039356104542,0.000867102752832912,0.0493314191699028,0.0952318087220192,0.0493314191699028,0.0952318087220192,6.401551479392981e-07,0.0005632465006226639,6.401551479392981e-07,0.0005632465006226639
Jet,4,scenario,0.1,31,16,4,23,12,4,0.04207267276611268,0.04393226181415314,0.0008629039356104542,0.000867102752832912,0.0018467416816489752,0.0018618471074016484,0.0493314191699028,0.0952318087220192,0.01974249631166458,0.0673188641667366,6.401551479392981e-07,0.0005632465006226639,6.401551479392981e-07,0.004636888164698472
Jet,4,scenario,0.5,31,16,4,15,8,4,0.04207267276611268,0.04393226181415314,0.0008629039356104542,0.000867102752832912,0.002784177360332524,0.002874667277931899,0.0493314191699028,0.0952318087220192,0.014486841857433319,0.05635153502225876,6.401551479392981e-07,0.0005632465006226639,6.401551479392981e-07,0.00791707287759862
Jet,4,scenario,0.8,31,16,4,7,4,2,0.04207267276611268,0.04393226181415314,0.0008629039356104542,0.000867102752832912,0.003348016724669451,0.003374372030122763,0.0493314191699028,0.0952318087220192,0.014127232134342194,0.01974249631166458,6.401551479392981e-07,0.0005632465006226639,0.0001797314302819726,0.008004754036228502
Jet,4,scenario,0.9,31,16,4,7,4,2,0.04207267276611268,0.04393226181415314,0.0008629039356104542,0.000867102752832912,0.003348016724669451,0.003374372030122763,0.0493314191699028,0.0952318087220192,0.014127232134342194,0.01974249631166458,6.401551479392981e-07,0.0005632465006226639,0.0001797314302819726,0.008004754036228502
Jet,10,scenario,0.01,2047,1024,10,1083,542,10,0.004463287172556896,0.0066474896364441104,2.3167948713748393e-05,0.007097359219958362,4.345548261716645e-05,6.344389320193071e-05,0.6140305325388908,1.0,0.5342162176966667,1.0,7.419071417099631e-10,3.375034492515998e-06,3.4248710913285493e-09,1.2329315032755906e-05
Jet,10,scenario,0.1,2047,1024,10,1083,542,10,0.004463287172556896,0.0066474896364441104,2.3167948713748393e-05,0.007097359219958362,4.345548261716645e-05,6.344389320193071e-05,0.6140305325388908,1.0,0.5342162176966667,1.0,7.419071417099631e-10,3.375034492515998e-06,3.4248710913285493e-09,1.2329315032755906e-05
Jet,10,scenario,0.5,2047,1024,10,1083,542,10,0.004463287172556896,0.0066474896364441104,2.3167948713748393e-05,0.007097359219958362,4.345548261716645e-05,6.344389320193071e-05,0.6140305325388908,1.0,0.5342162176966667,1.0,7.419071417099631e-10,3.375034492515998e-06,3.4248710913285493e-09,1.2329315032755906e-05
Jet,10,scenario,0.8,2047,1024,10,1083,542,10,0.004463287172556896,0.0066474896364441104,2.3167948713748393e-05,0.007097359219958362,4.345548261716645e-05,6.344389320193071e-05,0.6140305325388908,1.0,0.5342162176966667,1.0,7.419071417099631e-10,3.375034492515998e-06,3.4248710913285493e-09,1.2329315032755906e-05
Jet,10,scenario,0.9,2047,1024,10,1083,542,10,0.004463287172556896,0.0066474896364441104,2.3167948713748393e-05,0.007097359219958362,4.345548261716645e-05,6.344389320193071e-05,0.6140305325388908,1.0,0.5342162176966667,1.0,7.419071417099631e-10,3.375034492515998e-06,3.4248710913285493e-09,1.2329315032755906e-05
