system_name,max_depth,cost_function,alpha,nodes_before,leaves_before,depth_before,nodes_after,leaves_after,depth_after,NRMSE_Train_Tree,NRMSE_Test_Tree,NRMSE_Train_Affine_before,NRMSE_Test_Affine_before,NRMSE_Train_Affine_after,NRMSE_Test_Affine_after
NL1,4,basic,0.01,31,16,4,15,8,3,0.05399569220659876,0.054546515035125316,0.006597042706425139,0.006474522060129317,0.010592908279340696,0.01026819149756859
NL1,4,basic,0.05,31,16,4,1,1,0,0.05399569220659876,0.054546515035125316,0.006597042706425139,0.006474522060129317,0.028709336670067802,0.028590764517589025
NL1,4,basic,0.1,31,16,4,1,1,0,0.05399569220659876,0.054546515035125316,0.006597042706425139,0.006474522060129317,0.028709336670067802,0.028590764517589025
NL1,4,basic,0.5,31,16,4,1,1,0,0.05399569220659876,0.054546515035125316,0.006597042706425139,0.006474522060129317,0.028709336670067802,0.028590764517589025
NL1,4,average,0.001,31,16,4,15,8,3,0.05399569220659876,0.054546515035125316,0.006597042706425139,0.006474522060129317,0.010592908279340696,0.01026819149756859
NL1,4,average,0.01,31,16,4,1,1,0,0.05399569220659876,0.054546515035125316,0.006597042706425139,0.006474522060129317,0.028709336670067802,0.028590764517589025
NL1,4,average,0.05,31,16,4,1,1,0,0.05399569220659876,0.054546515035125316,0.006597042706425139,0.006474522060129317,0.028709336670067802,0.028590764517589025
NL1,4,average,0.1,31,16,4,1,1,0,0.05399569220659876,0.054546515035125316,0.006597042706425139,0.006474522060129317,0.028709336670067802,0.028590764517589025
NL1,4,average,0.5,31,16,4,1,1,0,0.05399569220659876,0.054546515035125316,0.006597042706425139,0.006474522060129317,0.028709336670067802,0.028590764517589025
NL1,6,basic,0.001,127,64,6,37,19,6,0.02671840772764482,0.02713810349958993,0.0035687773342683695,0.003631312206946887,0.006656927453833714,0.006536252150927755
NL1,6,basic,0.01,127,64,6,15,8,3,0.02671840772764482,0.02713810349958993,0.0035687773342683695,0.003631312206946887,0.010592908279340696,0.01026819149756859
NL1,6,basic,0.05,127,64,6,1,1,0,0.02671840772764482,0.02713810349958993,0.0035687773342683695,0.003631312206946887,0.028709336670067802,0.028590764517589025
NL1,6,basic,0.1,127,64,6,1,1,0,0.02671840772764482,0.02713810349958993,0.0035687773342683695,0.003631312206946887,0.028709336670067802,0.028590764517589025
NL1,6,basic,0.5,127,64,6,1,1,0,0.02671840772764482,0.02713810349958993,0.0035687773342683695,0.003631312206946887,0.028709336670067802,0.028590764517589025
NL1,6,average,0.001,127,64,6,15,8,3,0.02671840772764482,0.02713810349958993,0.0035687773342683695,0.003631312206946887,0.010592908279340696,0.01026819149756859
NL1,6,average,0.01,127,64,6,1,1,0,0.02671840772764482,0.02713810349958993,0.0035687773342683695,0.003631312206946887,0.028709336670067802,0.028590764517589025
NL1,6,average,0.05,127,64,6,1,1,0,0.02671840772764482,0.02713810349958993,0.0035687773342683695,0.003631312206946887,0.028709336670067802,0.028590764517589025
NL1,6,average,0.1,127,64,6,1,1,0,0.02671840772764482,0.02713810349958993,0.0035687773342683695,0.003631312206946887,0.028709336670067802,0.028590764517589025
NL1,6,average,0.5,127,64,6,1,1,0,0.02671840772764482,0.02713810349958993,0.0035687773342683695,0.003631312206946887,0.028709336670067802,0.028590764517589025
NL1,8,basic,0.001,511,256,8,59,30,7,0.012571698552209605,0.01367279287239478,0.0016721125457935877,0.0019824910900457684,0.004366676019944325,0.0044268848960741375
NL1,8,basic,0.01,511,256,8,15,8,3,0.012571698552209605,0.01367279287239478,0.0016721125457935877,0.0019824910900457684,0.010592908279340696,0.01026819149756859
NL1,8,basic,0.05,511,256,8,1,1,0,0.012571698552209605,0.01367279287239478,0.0016721125457935877,0.0019824910900457684,0.028709336670067802,0.028590764517589025
NL1,8,basic,0.1,511,256,8,1,1,0,0.012571698552209605,0.01367279287239478,0.0016721125457935877,0.0019824910900457684,0.028709336670067802,0.028590764517589025
NL1,8,basic,0.5,511,256,8,1,1,0,0.012571698552209605,0.01367279287239478,0.0016721125457935877,0.0019824910900457684,0.028709336670067802,0.028590764517589025
NL1,8,average,0.001,511,256,8,15,8,3,0.012571698552209605,0.01367279287239478,0.0016721125457935877,0.0019824910900457684,0.010592908279340696,0.01026819149756859
NL1,8,average,0.01,511,256,8,1,1,0,0.012571698552209605,0.01367279287239478,0.0016721125457935877,0.0019824910900457684,0.028709336670067802,0.028590764517589025
NL1,8,average,0.05,511,256,8,1,1,0,0.012571698552209605,0.01367279287239478,0.0016721125457935877,0.0019824910900457684,0.028709336670067802,0.028590764517589025
NL1,8,average,0.1,511,256,8,1,1,0,0.012571698552209605,0.01367279287239478,0.0016721125457935877,0.0019824910900457684,0.028709336670067802,0.028590764517589025
NL1,8,average,0.5,511,256,8,1,1,0,0.012571698552209605,0.01367279287239478,0.0016721125457935877,0.0019824910900457684,0.028709336670067802,0.028590764517589025
Tank,4,basic,0.001,31,16,4,11,6,4,0.3337571808685012,0.3481346572348656,0.0014755795833275298,0.0016655556831780202,0.0033519288604494358,0.0034675440441709372
Tank,4,basic,0.01,31,16,4,7,4,3,0.3337571808685012,0.3481346572348656,0.0014755795833275298,0.0016655556831780202,0.007572364666571091,0.007913088051876677
Tank,4,basic,0.05,31,16,4,3,2,1,0.3337571808685012,0.3481346572348656,0.0014755795833275298,0.0016655556831780202,0.03264168649742768,0.033344150858857065
Tank,4,basic,0.1,31,16,4,1,1,0,0.3337571808685012,0.3481346572348656,0.0014755795833275298,0.0016655556831780202,0.08423830773710979,0.08544980730853062
Tank,4,basic,0.5,31,16,4,1,1,0,0.3337571808685012,0.3481346572348656,0.0014755795833275298,0.0016655556831780202,0.08423830773710979,0.08544980730853062
Tank,4,average,0.001,31,16,4,9,5,4,0.3337571808685012,0.3481346572348656,0.0014755795833275298,0.0016655556831780202,0.006532205294222704,0.0067016927516503075
Tank,4,average,0.01,31,16,4,5,3,2,0.3337571808685012,0.3481346572348656,0.0014755795833275298,0.0016655556831780202,0.013236797118554846,0.014269614452927046
Tank,4,average,0.05,31,16,4,3,2,1,0.3337571808685012,0.3481346572348656,0.0014755795833275298,0.0016655556831780202,0.03264168649742768,0.033344150858857065
Tank,4,average,0.1,31,16,4,3,2,1,0.3337571808685012,0.3481346572348656,0.0014755795833275298,0.0016655556831780202,0.03264168649742768,0.033344150858857065
Tank,4,average,0.5,31,16,4,1,1,0,0.3337571808685012,0.3481346572348656,0.0014755795833275298,0.0016655556831780202,0.08423830773710979,0.08544980730853062
Tank,6,basic,0.001,127,64,6,13,7,5,0.3341521283426454,0.3481645181884127,0.00016038122065242498,0.00014366086246380867,0.003081559633949364,0.0031267706307329213
Tank,6,basic,0.01,127,64,6,7,4,3,0.3341521283426454,0.3481645181884127,0.00016038122065242498,0.00014366086246380867,0.007572364666571091,0.007913088051876677
Tank,6,basic,0.05,127,64,6,3,2,1,0.3341521283426454,0.3481645181884127,0.00016038122065242498,0.00014366086246380867,0.03264168649742768,0.033344150858857065
Tank,6,basic,0.1,127,64,6,1,1,0,0.3341521283426454,0.3481645181884127,0.00016038122065242498,0.00014366086246380867,0.08423830773710979,0.08544980730853062
Tank,6,basic,0.5,127,64,6,1,1,0,0.3341521283426454,0.3481645181884127,0.00016038122065242498,0.00014366086246380867,0.08423830773710979,0.08544980730853062
Tank,6,average,0.001,127,64,6,9,5,4,0.3341521283426454,0.3481645181884127,0.00016038122065242498,0.00014366086246380867,0.006532205294222704,0.0067016927516503075
Tank,6,average,0.01,127,64,6,5,3,2,0.3341521283426454,0.3481645181884127,0.00016038122065242498,0.00014366086246380867,0.013236797118554846,0.014269614452927046
Tank,6,average,0.05,127,64,6,3,2,1,0.3341521283426454,0.3481645181884127,0.00016038122065242498,0.00014366086246380867,0.03264168649742768,0.033344150858857065
Tank,6,average,0.1,127,64,6,3,2,1,0.3341521283426454,0.3481645181884127,0.00016038122065242498,0.00014366086246380867,0.03264168649742768,0.033344150858857065
Tank,6,average,0.5,127,64,6,1,1,0,0.3341521283426454,0.3481645181884127,0.00016038122065242498,0.00014366086246380867,0.08423830773710979,0.08544980730853062
Tank,8,basic,0.001,511,256,8,13,7,5,0.33417679301736875,0.348091734044061,5.0753462782918866e-05,5.0144749988838137e-05,0.003081559633949364,0.0031267706307329213
Tank,8,basic,0.01,511,256,8,7,4,3,0.33417679301736875,0.348091734044061,5.0753462782918866e-05,5.0144749988838137e-05,0.007572364666571091,0.007913088051876677
Tank,8,basic,0.05,511,256,8,3,2,1,0.33417679301736875,0.348091734044061,5.0753462782918866e-05,5.0144749988838137e-05,0.03264168649742768,0.033344150858857065
Tank,8,basic,0.1,511,256,8,1,1,0,0.33417679301736875,0.348091734044061,5.0753462782918866e-05,5.0144749988838137e-05,0.08423830773710979,0.08544980730853062
Tank,8,basic,0.5,511,256,8,1,1,0,0.33417679301736875,0.348091734044061,5.0753462782918866e-05,5.0144749988838137e-05,0.08423830773710979,0.08544980730853062
Tank,8,average,0.001,511,256,8,9,5,4,0.33417679301736875,0.348091734044061,5.0753462782918866e-05,5.0144749988838137e-05,0.006532205294222704,0.0067016927516503075
Tank,8,average,0.01,511,256,8,5,3,2,0.33417679301736875,0.348091734044061,5.0753462782918866e-05,5.0144749988838137e-05,0.013236797118554846,0.014269614452927046
Tank,8,average,0.05,511,256,8,3,2,1,0.33417679301736875,0.348091734044061,5.0753462782918866e-05,5.0144749988838137e-05,0.03264168649742768,0.033344150858857065
Tank,8,average,0.1,511,256,8,3,2,1,0.33417679301736875,0.348091734044061,5.0753462782918866e-05,5.0144749988838137e-05,0.03264168649742768,0.033344150858857065
Tank,8,average,0.5,511,256,8,1,1,0,0.33417679301736875,0.348091734044061,5.0753462782918866e-05,5.0144749988838137e-05,0.08423830773710979,0.08544980730853062
Steam,4,basic,0.001,31,16,4,1,1,0,0.026978536618849396,0.028119837522924827,0.013222209022760643,0.013164826492538287,0.017333908364621467,0.017498598346825624
Steam,4,basic,0.01,31,16,4,1,1,0,0.026978536618849396,0.028119837522924827,0.013222209022760643,0.013164826492538287,0.017333908364621467,0.017498598346825624
Steam,4,basic,0.05,31,16,4,1,1,0,0.026978536618849396,0.028119837522924827,0.013222209022760643,0.013164826492538287,0.017333908364621467,0.017498598346825624
Steam,4,basic,0.1,31,16,4,1,1,0,0.026978536618849396,0.028119837522924827,0.013222209022760643,0.013164826492538287,0.017333908364621467,0.017498598346825624
Steam,4,basic,0.5,31,16,4,1,1,0,0.026978536618849396,0.028119837522924827,0.013222209022760643,0.013164826492538287,0.017333908364621467,0.017498598346825624
Steam,4,average,0.001,31,16,4,31,16,4,0.026978536618849396,0.028119837522924827,0.013222209022760643,0.013164826492538287,0.013222209022760643,0.013164826492538287
Steam,4,average,0.01,31,16,4,9,5,4,0.026978536618849396,0.028119837522924827,0.013222209022760643,0.013164826492538287,0.017024722680273916,0.01711399836767645
Steam,4,average,0.05,31,16,4,1,1,0,0.026978536618849396,0.028119837522924827,0.013222209022760643,0.013164826492538287,0.017333908364621467,0.017498598346825624
Steam,4,average,0.1,31,16,4,1,1,0,0.026978536618849396,0.028119837522924827,0.013222209022760643,0.013164826492538287,0.017333908364621467,0.017498598346825624
Steam,4,average,0.5,31,16,4,1,1,0,0.026978536618849396,0.028119837522924827,0.013222209022760643,0.013164826492538287,0.017333908364621467,0.017498598346825624
Steam,6,basic,0.001,127,64,6,1,1,0,0.01564889371900411,0.016444650243505565,0.011761957460882906,0.011760118670556463,0.017333908364621467,0.017498598346825624
Steam,6,basic,0.01,127,64,6,1,1,0,0.01564889371900411,0.016444650243505565,0.011761957460882906,0.011760118670556463,0.017333908364621467,0.017498598346825624
Steam,6,basic,0.05,127,64,6,1,1,0,0.01564889371900411,0.016444650243505565,0.011761957460882906,0.011760118670556463,0.017333908364621467,0.017498598346825624
Steam,6,basic,0.1,127,64,6,1,1,0,0.01564889371900411,0.016444650243505565,0.011761957460882906,0.011760118670556463,0.017333908364621467,0.017498598346825624
Steam,6,basic,0.5,127,64,6,1,1,0,0.01564889371900411,0.016444650243505565,0.011761957460882906,0.011760118670556463,0.017333908364621467,0.017498598346825624
Steam,6,average,0.001,127,64,6,49,25,6,0.01564889371900411,0.016444650243505565,0.011761957460882906,0.011760118670556463,0.013233666817697968,0.013184907248481152
Steam,6,average,0.01,127,64,6,9,5,4,0.01564889371900411,0.016444650243505565,0.011761957460882906,0.011760118670556463,0.017024722680273916,0.01711399836767645
Steam,6,average,0.05,127,64,6,1,1,0,0.01564889371900411,0.016444650243505565,0.011761957460882906,0.011760118670556463,0.017333908364621467,0.017498598346825624
Steam,6,average,0.1,127,64,6,1,1,0,0.01564889371900411,0.016444650243505565,0.011761957460882906,0.011760118670556463,0.017333908364621467,0.017498598346825624
Steam,6,average,0.5,127,64,6,1,1,0,0.01564889371900411,0.016444650243505565,0.011761957460882906,0.011760118670556463,0.017333908364621467,0.017498598346825624
Steam,8,basic,0.001,511,256,8,281,141,8,0.010318146645524964,0.01244503412009332,0.008602624635790623,0.00964822425266001,0.010148055170636855,0.010480138755530959
Steam,8,basic,0.01,511,256,8,259,130,8,0.010318146645524964,0.01244503412009332,0.008602624635790623,0.00964822425266001,0.010260348502236873,0.010534161532997762
Steam,8,basic,0.05,511,256,8,61,31,8,0.010318146645524964,0.01244503412009332,0.008602624635790623,0.00964822425266001,0.015367055757892522,0.015526174815097823
Steam,8,basic,0.1,511,256,8,1,1,0,0.010318146645524964,0.01244503412009332,0.008602624635790623,0.00964822425266001,0.017333908364621467,0.017498598346825624
Steam,8,basic,0.5,511,256,8,1,1,0,0.010318146645524964,0.01244503412009332,0.008602624635790623,0.00964822425266001,0.017333908364621467,0.017498598346825624
Steam,8,average,0.001,511,256,8,159,80,8,0.010318146645524964,0.01244503412009332,0.008602624635790623,0.00964822425266001,0.011443503703265486,0.011543495806086473
Steam,8,average,0.01,511,256,8,17,9,8,0.010318146645524964,0.01244503412009332,0.008602624635790623,0.00964822425266001,0.016743013796077285,0.016981152633584733
Steam,8,average,0.05,511,256,8,1,1,0,0.010318146645524964,0.01244503412009332,0.008602624635790623,0.00964822425266001,0.017333908364621467,0.017498598346825624
Steam,8,average,0.1,511,256,8,1,1,0,0.010318146645524964,0.01244503412009332,0.008602624635790623,0.00964822425266001,0.017333908364621467,0.017498598346825624
Steam,8,average,0.5,511,256,8,1,1,0,0.010318146645524964,0.01244503412009332,0.008602624635790623,0.00964822425266001,0.017333908364621467,0.017498598346825624
NL2,4,basic,0.001,31,16,4,15,8,3,0.0634443084150197,0.06413516378478407,0.030821973605034664,0.03057004847844759,0.030947610002550873,0.030693546099633776
NL2,4,basic,0.01,31,16,4,9,5,3,0.0634443084150197,0.06413516378478407,0.030821973605034664,0.03057004847844759,0.03129539322456081,0.0310483039634882
NL2,4,basic,0.05,31,16,4,7,4,3,0.0634443084150197,0.06413516378478407,0.030821973605034664,0.03057004847844759,0.043100140635056204,0.04311590249673951
NL2,4,basic,0.1,31,16,4,3,2,1,0.0634443084150197,0.06413516378478407,0.030821973605034664,0.03057004847844759,0.05333504201258301,0.053086583778656625
NL2,4,basic,0.5,31,16,4,1,1,0,0.0634443084150197,0.06413516378478407,0.030821973605034664,0.03057004847844759,0.10691935280921666,0.10638118942055459
NL2,4,average,0.001,31,16,4,27,14,4,0.0634443084150197,0.06413516378478407,0.030821973605034664,0.03057004847844759,0.03094667314067916,0.030692731058763863
NL2,4,average,0.01,31,16,4,9,5,3,0.0634443084150197,0.06413516378478407,0.030821973605034664,0.03057004847844759,0.03129539322456081,0.0310483039634882
NL2,4,average,0.05,31,16,4,3,2,1,0.0634443084150197,0.06413516378478407,0.030821973605034664,0.03057004847844759,0.05333504201258301,0.053086583778656625
NL2,4,average,0.1,31,16,4,3,2,1,0.0634443084150197,0.06413516378478407,0.030821973605034664,0.03057004847844759,0.05333504201258301,0.053086583778656625
NL2,4,average,0.5,31,16,4,3,2,1,0.0634443084150197,0.06413516378478407,0.030821973605034664,0.03057004847844759,0.05333504201258301,0.053086583778656625
NL2,6,basic,0.001,127,64,6,27,14,5,0.032346332461148236,0.032869546075557525,0.017082128749230457,0.016840724562470197,0.017731207526018852,0.017440936715683548
NL2,6,basic,0.01,127,64,6,21,11,5,0.032346332461148236,0.032869546075557525,0.017082128749230457,0.016840724562470197,0.018331470004902702,0.018057953382354597
NL2,6,basic,0.05,127,64,6,21,11,5,0.032346332461148236,0.032869546075557525,0.017082128749230457,0.016840724562470197,0.018331470004902702,0.018057953382354597
NL2,6,basic,0.1,127,64,6,3,2,1,0.032346332461148236,0.032869546075557525,0.017082128749230457,0.016840724562470197,0.05333504201258301,0.053086583778656625
NL2,6,basic,0.5,127,64,6,1,1,0,0.032346332461148236,0.032869546075557525,0.017082128749230457,0.016840724562470197,0.10691935280921666,0.10638118942055459
NL2,6,average,0.001,127,64,6,27,14,5,0.032346332461148236,0.032869546075557525,0.017082128749230457,0.016840724562470197,0.017731207526018852,0.017440936715683548
NL2,6,average,0.01,127,64,6,19,10,5,0.032346332461148236,0.032869546075557525,0.017082128749230457,0.016840724562470197,0.02227897195775917,0.02197711418351908
NL2,6,average,0.05,127,64,6,3,2,1,0.032346332461148236,0.032869546075557525,0.017082128749230457,0.016840724562470197,0.05333504201258301,0.053086583778656625
NL2,6,average,0.1,127,64,6,3,2,1,0.032346332461148236,0.032869546075557525,0.017082128749230457,0.016840724562470197,0.05333504201258301,0.053086583778656625
NL2,6,average,0.5,127,64,6,3,2,1,0.032346332461148236,0.032869546075557525,0.017082128749230457,0.016840724562470197,0.05333504201258301,0.053086583778656625
